latitude,longitude,date,tempf
33.2629,-86.6781,12/1/2020,38
35.2119,-90.3153,12/1/2020,39
34.7551,-91.8941,12/1/2020,41
34.8589,-94.0636,12/1/2020,43
35.2547,-91.7532,12/1/2020,40
37.2024,-107.0509,12/1/2020,31
38.8354,-102.6046,12/1/2020,39
37.6878,-104.9599,12/1/2020,25
37.6515,-106.9323,12/1/2020,27
39.1189,-105.7176,12/1/2020,21
26.5521,-81.8923,12/1/2020,58
28.302,-82.4557,12/1/2020,50
34.6351,-83.5264,12/1/2020,35
33.4192,-82.688,12/1/2020,38
32.8043,-83.1756,12/1/2020,38
42.0591,-89.9265,12/1/2020,28
38.6064,-89.4231,12/1/2020,32
41.9396,-88.428,12/1/2020,29
40.5081,-89.5163,12/1/2020,30
41.0504,-86.265,12/1/2020,30
38.7836,-85.4401,12/1/2020,30
38.3979,-87.2325,12/1/2020,32
41.6853,-94.0407,12/1/2020,32
41.3308,-92.6364,12/1/2020,30
39.7862,-101.0767,12/1/2020,43
38.9266,-101.7711,12/1/2020,42
38.4435,-84.3328,12/1/2020,29
37.4573,-84.6581,12/1/2020,29
37.7968,-82.5066,12/1/2020,29
37.4235,-83.6916,12/1/2020,30
38.2394,-85.2284,12/1/2020,30
30.8214,-90.7094,12/1/2020,45
30.8727,-91.421,12/1/2020,44
38.3674,-75.6322,12/1/2020,46
43.5627,-85.7914,12/1/2020,33
42.9515,-84.1464,12/1/2020,31
46.6038,-92.671,12/1/2020,24
33.5007,-89.6396,12/1/2020,41
38.301,-93.2879,12/1/2020,39
37.152,-91.3984,12/1/2020,37
45.1339,-112.8929,12/1/2020,19
45.2245,-109.0286,12/1/2020,30
48.2827,-104.9952,12/1/2020,29
41.2232,-96.6409,12/1/2020,35
33.3616,-104.4698,12/1/2020,52
32.3509,-106.8322,12/1/2020,49
44.109,-73.7776,12/1/2020,47
42.9009,-74.4354,12/1/2020,43
36.2354,-81.7099,12/1/2020,25
46.3578,-101.639,12/1/2020,34
48.6822,-99.2482,12/1/2020,30
41.5973,-84.1243,12/1/2020,31
39.8966,-83.4009,12/1/2020,29
39.6249,-81.8617,12/1/2020,30
39.7432,-82.238,12/1/2020,29
34.5939,-99.4122,12/1/2020,46
40.9178,-75.7094,12/1/2020,37
40.5307,-77.4004,12/1/2020,35
40.6119,-77.6207,12/1/2020,35
42.913,-96.9798,12/1/2020,34
36.1691,-86.7848,12/1/2020,35
36.3254,-88.3004,12/1/2020,34
35.1425,-86.5934,12/1/2020,35
33.6163,-98.6873,12/1/2020,47
32.7441,-101.433,12/1/2020,50
34.0919,-100.2764,12/1/2020,51
32.7438,-99.347,12/1/2020,50
33.1707,-99.2061,12/1/2020,49
40.8901,-109.5058,12/1/2020,26
44.0034,-72.3697,12/1/2020,51
43.5881,-72.5915,12/1/2020,50
38.8838,-77.1746,12/1/2020,44
38.7476,-77.4847,12/1/2020,42
39.3681,-81.1612,12/1/2020,30
43.9738,-89.7672,12/1/2020,28
46.6342,-91.1773,12/1/2020,26
44.5009,-87.1618,12/1/2020,32
31.244,-86.4487,12/1/2020,41
32.2476,-87.7911,12/1/2020,42
34.4909,-94.2309,12/1/2020,40
37.4147,-122.3715,12/1/2020,57
41.3497,-72.9002,12/1/2020,50
38.6775,-75.3355,12/1/2020,46
27.7006,-80.5748,12/1/2020,53
30.6659,-86.5942,12/1/2020,41
30.6312,-86.1766,12/1/2020,41
34.3519,-83.4984,12/1/2020,35
32.3934,-81.7438,12/1/2020,40
33.9522,-83.3671,12/1/2020,36
33.9591,-84.0229,12/1/2020,36
33.0174,-83.9229,12/1/2020,37
33.5937,-83.4923,12/1/2020,37
30.8646,-83.9198,12/1/2020,41
33.7826,-83.7342,12/1/2020,36
37.1837,-89.3495,12/1/2020,35
39.9621,-90.7503,12/1/2020,30
37.7687,-88.228,12/1/2020,33
39.2659,-89.9263,12/1/2020,31
39.7564,-89.6623,12/1/2020,30
41.0969,-89.7974,12/1/2020,29
38.6794,-85.7519,12/1/2020,31
41.2832,-86.6476,12/1/2020,30
42.4729,-92.3061,12/1/2020,28
41.6857,-93.053,12/1/2020,29
38.2986,-96.5941,12/1/2020,38
37.9945,-101.3081,12/1/2020,44
38.4555,-96.1616,12/1/2020,38
37.1486,-87.8705,12/1/2020,32
36.7842,-85.3935,12/1/2020,30
37.6925,-83.9639,12/1/2020,30
38.7602,-84.8621,12/1/2020,30
36.9904,-85.6296,12/1/2020,30
30.544,-91.0932,12/1/2020,46
31.1932,-92.536,12/1/2020,44
39.6036,-77.8147,12/1/2020,40
45.8051,-86.9014,12/1/2020,30
46.0128,-87.8661,12/1/2020,28
34.6209,-88.5222,12/1/2020,38
32.4271,-89.5332,12/1/2020,42
32.357,-90.8518,12/1/2020,43
39.2145,-91.8434,12/1/2020,33
36.908,-94.3347,12/1/2020,40
37.8107,-90.4739,12/1/2020,34
41.7054,-98.0668,12/1/2020,34
42.2157,-103.0878,12/1/2020,36
41.2261,-97.132,12/1/2020,35
42.3905,-96.5625,12/1/2020,33
40.525,-97.5967,12/1/2020,36
42.9255,-72.2482,12/1/2020,51
34.5919,-78.5395,12/1/2020,43
35.9579,-81.5301,12/1/2020,34
35.2381,-77.639,12/1/2020,45
35.7041,-77.919,12/1/2020,45
46.0968,-102.5332,12/1/2020,34
48.0717,-99.362,12/1/2020,30
46.2652,-96.938,12/1/2020,30
39.0135,-82.6141,12/1/2020,31
35.6456,-98.9974,12/1/2020,43
36.3783,-97.7877,12/1/2020,42
36.0792,-96.9753,12/1/2020,44
45.1645,-121.1651,12/1/2020,32
40.6841,-80.3507,12/1/2020,31
32.3581,-80.6893,12/1/2020,42
34.0807,-79.3621,12/1/2020,42
34.0053,-81.7279,12/1/2020,38
44.6806,-97.1786,12/1/2020,30
44.0285,-97.1232,12/1/2020,30
36.1167,-84.1954,12/1/2020,31
35.4888,-86.0782,12/1/2020,30
36.2184,-83.2661,12/1/2020,30
31.9142,-99.3466,12/1/2020,48
32.3473,-96.7983,12/1/2020,44
35.8402,-102.61,12/1/2020,43
33.176,-99.7308,12/1/2020,50
28.7452,-100.3114,12/1/2020,51
32.1094,-94.7564,12/1/2020,44
38.3359,-112.1294,12/1/2020,27
44.0312,-73.1416,12/1/2020,49
36.7665,-78.9396,12/1/2020,41
38.8532,-77.299,12/1/2020,43
46.5566,-123.7824,12/1/2020,40
39.3074,-77.8632,12/1/2020,39
44.474,-87.9959,12/1/2020,30
44.4182,-88.465,12/1/2020,29
43.3607,-87.4966,12/1/2020,29
32.9314,-86.2435,12/1/2020,38
35.8297,-111.7737,12/1/2020,41
34.0533,-93.1762,12/1/2020,42
35.1891,-91.2444,12/1/2020,40
37.6481,-121.9133,12/1/2020,58
34.1964,-118.2619,12/1/2020,71
38.102,-105.3735,12/1/2020,33
39.3053,-102.603,12/1/2020,39
39.0195,-108.4618,12/1/2020,34
28.5144,-81.3233,12/1/2020,50
32.8088,-83.6942,12/1/2020,39
34.2251,-84.1273,12/1/2020,34
21.4614,-158.202,12/1/2020,74
40.7489,-87.8336,12/1/2020,30
42.3624,-90.2115,12/1/2020,28
37.7304,-88.93,12/1/2020,33
40.0509,-86.469,12/1/2020,28
40.8264,-85.4786,12/1/2020,31
39.6231,-84.9252,12/1/2020,28
42.0386,-93.9391,12/1/2020,30
42.7415,-95.1414,12/1/2020,32
42.473,-91.3594,12/1/2020,28
42.4635,-90.8788,12/1/2020,27
43.2125,-94.214,12/1/2020,30
40.7391,-95.1443,12/1/2020,35
38.2165,-94.8449,12/1/2020,38
38.6877,-96.6449,12/1/2020,38
37.6476,-98.7401,12/1/2020,41
37.8885,-95.7576,12/1/2020,39
38.3684,-83.7062,12/1/2020,29
37.5455,-85.6972,12/1/2020,31
37.1133,-84.1194,12/1/2020,28
37.5306,-87.2629,12/1/2020,32
32.4775,-92.1548,12/1/2020,43
30.5834,-91.9893,12/1/2020,44
43.8083,-70.3304,12/1/2020,55
39.6123,-78.7031,12/1/2020,35
42.9447,-85.0738,12/1/2020,33
43.4879,-83.4366,12/1/2020,29
44.8214,-93.8006,12/1/2020,27
45.5054,-92.9038,12/1/2020,26
45.1232,-94.5273,12/1/2020,26
45.4432,-93.7751,12/1/2020,26
40.0957,-95.2191,12/1/2020,36
36.6849,-91.4029,12/1/2020,38
42.7112,-103.1349,12/1/2020,37
40.5098,-99.8241,12/1/2020,40
40.866,-98.498,12/1/2020,36
40.5164,-99.4066,12/1/2020,40
33.9916,-106.939,12/1/2020,41
43.7864,-75.4426,12/1/2020,42
36.0613,-76.9624,12/1/2020,46
35.3481,-83.8309,12/1/2020,25
35.8064,-80.8745,12/1/2020,37
35.153,-83.4219,12/1/2020,22
35.4027,-81.9196,12/1/2020,36
36.4042,-80.2393,12/1/2020,38
46.1078,-103.5066,12/1/2020,33
47.4643,-98.8728,12/1/2020,31
46.4349,-102.4584,12/1/2020,33
46.9354,-99.7427,12/1/2020,32
36.8005,-99.6628,12/1/2020,44
35.7031,-96.8814,12/1/2020,44
35.6469,-95.9646,12/1/2020,43
41.0455,-76.4043,12/1/2020,37
34.3322,-79.9621,12/1/2020,42
43.2215,-103.5121,12/1/2020,37
44.5373,-99.4921,12/1/2020,32
43.6789,-97.362,12/1/2020,31
42.8311,-96.6508,12/1/2020,32
36.5016,-83.6607,12/1/2020,29
35.9524,-84.9948,12/1/2020,27
36.2775,-83.5095,12/1/2020,30
35.8475,-84.5239,12/1/2020,32
29.1678,-95.4346,12/1/2020,52
29.9859,-100.3074,12/1/2020,44
34.4532,-100.5763,12/1/2020,51
31.9822,-97.1299,12/1/2020,44
31.3034,-100.9813,12/1/2020,48
31.5131,-103.1051,12/1/2020,53
34.0849,-99.2424,12/1/2020,48
40.2896,-110.4298,12/1/2020,28
40.4677,-113.124,12/1/2020,33
44.724,-71.7327,12/1/2020,50
37.6068,-76.528,12/1/2020,44
37.7317,-79.3564,12/1/2020,36
37.2047,-77.3924,12/1/2020,43
47.8599,-120.6185,12/1/2020,28
47.6204,-117.4044,12/1/2020,32
38.4196,-82.2434,12/1/2020,31
39.8547,-80.6714,12/1/2020,29
38.6868,-79.3337,12/1/2020,33
34.7031,-87.8015,12/1/2020,36
31.517,-85.24,12/1/2020,39
33.7871,-88.0874,12/1/2020,39
32.8634,-85.7996,12/1/2020,38
63.6827,-150.0267,12/1/2020,21
35.7669,-90.0522,12/1/2020,38
35.3466,-118.7295,12/1/2020,53
38.2672,-121.9396,12/1/2020,57
37.2775,-105.4289,12/1/2020,26
37.3188,-104.0441,12/1/2020,35
38.1506,-107.7671,12/1/2020,21
26.5393,-81.1516,12/1/2020,56
31.9748,-81.0918,12/1/2020,42
33.79,-84.4682,12/1/2020,37
33.5768,-83.1671,12/1/2020,37
32.5547,-84.2514,12/1/2020,38
42.9862,-114.1539,12/1/2020,19
39.5455,-89.2796,12/1/2020,30
41.7474,-89.2994,12/1/2020,29
37.7517,-88.545,12/1/2020,33
38.4319,-88.4321,12/1/2020,32
38.4762,-85.7111,12/1/2020,32
39.7743,-87.197,12/1/2020,30
39.0892,-87.4158,12/1/2020,31
41.6792,-94.9043,12/1/2020,33
40.9153,-91.1869,12/1/2020,29
43.0527,-92.7874,12/1/2020,27
41.0286,-94.2451,12/1/2020,33
37.2229,-98.6851,12/1/2020,41
38.4516,-85.1201,12/1/2020,29
36.7311,-84.4911,12/1/2020,29
37.4779,-86.8449,12/1/2020,32
36.8077,-87.8587,12/1/2020,32
30.0686,-89.939,12/1/2020,49
32.7925,-91.452,12/1/2020,42
44.0369,-83.7407,12/1/2020,32
41.7926,-86.7418,12/1/2020,33
46.9983,-88.6521,12/1/2020,30
41.9161,-83.4871,12/1/2020,31
44.4035,-95.2542,12/1/2020,29
33.0905,-89.5886,12/1/2020,42
34.8108,-89.2,12/1/2020,39
34.8743,-89.9932,12/1/2020,41
34.7377,-88.2361,12/1/2020,37
37.5008,-94.3441,12/1/2020,41
36.9448,-90.9456,12/1/2020,38
39.3156,-94.4215,12/1/2020,36
39.6087,-94.3958,12/1/2020,35
38.5068,-92.2714,12/1/2020,37
37.4324,-93.8549,12/1/2020,40
36.6302,-94.344,12/1/2020,41
37.3143,-91.9645,12/1/2020,37
47.6429,-114.0837,12/1/2020,29
46.8524,-105.3758,12/1/2020,32
41.9252,-99.9908,12/1/2020,40
40.5237,-98.0511,12/1/2020,36
40.1802,-101.6811,12/1/2020,42
41.9099,-97.6069,12/1/2020,34
36.5116,-108.3246,12/1/2020,39
42.91,-75.6636,12/1/2020,43
36.042,-79.3999,12/1/2020,40
47.4635,-98.2324,12/1/2020,31
46.817,-102.662,12/1/2020,33
41.0245,-84.1299,12/1/2020,31
40.3367,-84.2041,12/1/2020,29
40.2959,-83.367,12/1/2020,30
35.8975,-94.6517,12/1/2020,40
35.1679,-98.381,12/1/2020,43
33.9578,-97.2451,12/1/2020,44
35.5546,-97.4094,12/1/2020,43
42.4667,-124.2114,12/1/2020,47
42.7884,-120.3898,12/1/2020,30
45.5893,-98.3522,12/1/2020,30
44.2843,-101.5918,12/1/2020,38
43.952,-100.6861,12/1/2020,35
44.931,-98.3396,12/1/2020,31
35.6034,-88.1074,12/1/2020,36
36.0404,-87.7906,12/1/2020,34
35.6783,-85.7774,12/1/2020,30
32.2932,-99.3722,12/1/2020,48
35.4055,-101.3554,12/1/2020,43
36.2864,-102.594,12/1/2020,43
33.3859,-95.6734,12/1/2020,43
31.707,-98.1118,12/1/2020,45
31.4949,-98.5946,12/1/2020,45
31.1551,-98.8193,12/1/2020,47
31.8358,-101.0549,12/1/2020,49
30.7696,-94.3794,12/1/2020,44
35.3926,-100.2531,12/1/2020,46
44.6035,-72.6384,12/1/2020,50
37.3361,-77.9732,12/1/2020,41
37.3784,-77.5858,12/1/2020,43
37.7242,-77.9143,12/1/2020,43
36.6673,-80.2861,12/1/2020,38
38.1823,-77.6563,12/1/2020,42
43.0177,-87.4816,12/1/2020,30
44.7896,-88.7558,12/1/2020,29
44.478,-88.967,12/1/2020,29
44.1128,-89.2398,12/1/2020,29
32.9189,-111.3673,12/1/2020,56
34.2777,-91.9307,12/1/2020,43
34.7798,-90.7793,12/1/2020,40
33.5912,-92.8784,12/1/2020,43
33.0236,-116.7761,12/1/2020,63
39.8743,-104.3319,12/1/2020,33
37.9582,-102.3922,12/1/2020,41
38.872,-105.1826,12/1/2020,25
27.4928,-81.8216,12/1/2020,53
29.9901,-83.1785,12/1/2020,42
31.1529,-83.4296,12/1/2020,41
32.1721,-82.5333,12/1/2020,39
34.5529,-83.2902,12/1/2020,34
41.1395,-87.8611,12/1/2020,29
41.6425,-85.4263,12/1/2020,33
39.4826,-86.4475,12/1/2020,30
41.6434,-85.0025,12/1/2020,32
42.0417,-92.9815,12/1/2020,29
43.0759,-94.6673,12/1/2020,29
42.3932,-96.0533,12/1/2020,33
38.0499,-100.7399,12/1/2020,44
39.7767,-97.0956,12/1/2020,37
38.2899,-84.5794,12/1/2020,29
37.52,-87.6851,12/1/2020,32
32.7302,-91.2341,12/1/2020,42
39.5299,-79.2694,12/1/2020,27
39.2392,-76.1242,12/1/2020,45
38.8259,-76.8473,12/1/2020,44
41.9872,-70.7419,12/1/2020,57
42.332,-71.0202,12/1/2020,57
44.7237,-94.9556,12/1/2020,28
40.4073,-91.7295,12/1/2020,31
40.2094,-94.4041,12/1/2020,35
39.4983,-92.0065,12/1/2020,33
37.7111,-89.8021,12/1/2020,35
46.1617,-106.702,12/1/2020,33
42.5071,-102.3897,12/1/2020,36
38.9051,-119.609,12/1/2020,37
39.9002,-117.0472,12/1/2020,34
33.9018,-108.3921,12/1/2020,36
32.7957,-103.4133,12/1/2020,52
36.4894,-81.1323,12/1/2020,28
36.1317,-80.2573,12/1/2020,38
35.2933,-81.1773,12/1/2020,38
35.7898,-78.6506,12/1/2020,43
47.0093,-103.3649,12/1/2020,33
48.7684,-98.4638,12/1/2020,29
47.1181,-101.3314,12/1/2020,32
41.9241,-81.3926,12/1/2020,33
39.7672,-81.4526,12/1/2020,30
40.8297,-81.8872,12/1/2020,28
35.9077,-96.3798,12/1/2020,43
44.4963,-119.0141,12/1/2020,29
40.7037,-76.2178,12/1/2020,36
40.9622,-77.0555,12/1/2020,37
44.8964,-103.5018,12/1/2020,34
43.2082,-100.7172,12/1/2020,39
35.654,-88.3877,12/1/2020,35
32.7419,-101.9473,12/1/2020,50
30.5432,-95.9881,12/1/2020,46
32.3036,-101.4385,12/1/2020,51
29.3826,-96.9236,12/1/2020,48
33.1165,-94.7313,12/1/2020,43
30.8962,-100.5272,12/1/2020,46
41.037,-112.2021,12/1/2020,32
44.4607,-73.0705,12/1/2020,50
38.1678,-79.1467,12/1/2020,35
37.8306,-78.2844,12/1/2020,40
36.6802,-77.5603,12/1/2020,44
39.0811,-77.6389,12/1/2020,40
37.3026,-75.9239,12/1/2020,47
36.7128,-82.6136,12/1/2020,28
36.6835,-79.8636,12/1/2020,38
48.0549,-121.7664,12/1/2020,37
38.8342,-81.6777,12/1/2020,31
39.3291,-80.0456,12/1/2020,30
45.2117,-90.5049,12/1/2020,25
42.1303,-104.9608,12/1/2020,34
32.5364,-86.6445,12/1/2020,40
33.9774,-86.5672,12/1/2020,36
34.4609,-85.804,12/1/2020,33
63.865,-143.2186,12/1/2020,0
33.8932,-92.1887,12/1/2020,43
33.6667,-93.3051,12/1/2020,43
35.9097,-92.6994,12/1/2020,42
35.857,-92.1405,12/1/2020,40
39.666,-121.6019,12/1/2020,54
29.6757,-82.3572,12/1/2020,44
30.2376,-85.6313,12/1/2020,44
26.1187,-81.4009,12/1/2020,57
30.6059,-81.7649,12/1/2020,44
28.7143,-82.0747,12/1/2020,47
31.2743,-83.2319,12/1/2020,40
44.2181,-111.4844,12/1/2020,15
43.761,-111.2118,12/1/2020,16
41.8521,-88.086,12/1/2020,31
39.3554,-90.3878,12/1/2020,31
40.0226,-89.7941,12/1/2020,30
37.2156,-89.1278,12/1/2020,35
37.4751,-89.2529,12/1/2020,33
38.1864,-86.1037,12/1/2020,31
39.783,-86.1358,12/1/2020,30
40.1644,-85.005,12/1/2020,28
40.8437,-85.7952,12/1/2020,30
41.3338,-94.9333,12/1/2020,34
43.3785,-95.6338,12/1/2020,31
37.1694,-94.8457,12/1/2020,40
37.2338,-99.8139,12/1/2020,45
39.0473,-98.2143,12/1/2020,40
39.8289,-97.6509,12/1/2020,36
38.947,-84.3796,12/1/2020,30
38.6683,-85.1241,12/1/2020,29
37.2095,-88.3634,12/1/2020,33
37.2413,-83.2178,12/1/2020,29
38.5138,-84.0638,12/1/2020,29
30.6527,-92.8196,12/1/2020,44
30.7207,-92.4041,12/1/2020,45
31.1106,-93.1815,12/1/2020,44
45.9177,-69.1045,12/1/2020,55
44.3254,-85.0855,12/1/2020,30
43.6773,-92.0937,12/1/2020,26
45.5896,-95.4467,12/1/2020,28
32.8925,-90.8274,12/1/2020,42
33.9559,-90.1728,12/1/2020,40
37.6597,-92.5948,12/1/2020,38
38.6407,-90.446,12/1/2020,37
46.3806,-109.1746,12/1/2020,29
42.8944,-98.773,12/1/2020,37
41.6594,-102.3282,12/1/2020,36
40.3955,-96.2686,12/1/2020,36
36.613,-104.6401,12/1/2020,33
42.2449,-78.681,12/1/2020,32
43.0009,-78.1928,12/1/2020,35
42.7104,-73.5138,12/1/2020,47
40.9436,-72.6922,12/1/2020,53
42.4533,-76.4737,12/1/2020,39
34.7635,-77.5033,12/1/2020,45
35.2789,-82.1677,12/1/2020,37
35.2101,-82.8167,12/1/2020,30
46.4642,-98.5261,12/1/2020,31
40.7685,-80.7772,12/1/2020,30
