0,1,2
"32.500389,-86.494165",2020-03-01,54
"30.548923,-87.762381",2020-03-01,58
"31.844036,-85.310038",2020-03-01,54
"33.030921,-87.127659",2020-03-01,54
"33.955242999999996,-86.591491",2020-03-01,51
"32.116327000000005,-85.701192",2020-03-01,54
"31.773539000000003,-86.65355",2020-03-01,56
"33.72546,-85.81944200000001",2020-03-01,52
"32.860439,-85.266474",2020-03-01,52
"34.179333,-85.629194",2020-03-01,50
"32.877547,-86.68740600000001",2020-03-01,54
"32.016562,-88.26416400000001",2020-03-01,58
"31.685685,-87.815673",2020-03-01,57
"33.272412,-85.820227",2020-03-01,51
"33.62977,-85.494315",2020-03-01,51
"31.354433,-85.904715",2020-03-01,56
"34.723385,-87.685151",2020-03-01,53
"31.418674,-86.996483",2020-03-01,57
"32.975932,-86.155035",2020-03-01,53
"31.282449,-86.410955",2020-03-01,57
"31.743487,-86.29708000000001",2020-03-01,56
"34.162362,-86.831859",2020-03-01,51
"31.383346000000003,-85.641269",2020-03-01,57
"32.408815000000004,-87.03495500000001",2020-03-01,56
"34.45511,-85.817208",2020-03-01,48
"32.559652,-86.225647",2020-03-01,54
"31.088737,-87.282053",2020-03-01,57
"34.013692999999996,-86.02539300000001",2020-03-01,51
"33.726422,-87.77035500000001",2020-03-01,54
"34.460481,-87.793594",2020-03-01,52
"31.09426,-85.788849",2020-03-01,57
"32.830505,-87.92399999999999",2020-03-01,55
"32.775804,-87.62608399999999",2020-03-01,55
"31.478593,-85.268828",2020-03-01,55
"31.20455,-85.391221",2020-03-01,56
"34.731984000000004,-85.938698",2020-03-01,49
"33.518601000000004,-86.814688",2020-03-01,53
"33.762769,-88.109649",2020-03-01,55
"34.866178999999995,-87.60875899999999",2020-03-01,52
"34.543683,-87.272414",2020-03-01,52
"32.588091999999996,-85.345833",2020-03-01,54
"34.815612,-86.93897199999999",2020-03-01,51
"32.162415,-86.618688",2020-03-01,56
"32.425739,-85.715007",2020-03-01,54
"34.746392,-86.613232",2020-03-01,50
"32.340478999999995,-87.800648",2020-03-01,57
"34.111796999999996,-87.8743",2020-03-01,53
"34.311974,-86.293279",2020-03-01,50
"30.683993,-88.170637",2020-03-01,59
"31.505611,-87.36089399999999",2020-03-01,57
"32.346175,-86.243797",2020-03-01,55
"34.514252,-86.93078100000001",2020-03-01,51
"32.581066,-87.369219",2020-03-01,55
"33.292972999999996,-88.06647199999999",2020-03-01,55
"31.787277000000003,-85.948647",2020-03-01,55
"33.257607,-85.427266",2020-03-01,51
"32.421972,-85.062843",2020-03-01,54
"33.660628,-86.369107",2020-03-01,52
"33.290719,-86.737978",2020-03-01,54
"32.57442,-88.232646",2020-03-01,57
"33.372083,-86.169238",2020-03-01,52
"32.85306,-85.864503",2020-03-01,53
"33.214154,-87.520229",2020-03-01,55
"33.834858000000004,-87.253922",2020-03-01,53
"31.410368,-88.18611999999999",2020-03-01,58
"31.999753000000002,-87.38040699999999",2020-03-01,57
"34.163824,-87.415693",2020-03-01,52
"54.860151,-162.90153600000002",2020-03-01,36
"54.023571,-168.292885",2020-03-01,36
"61.192232,-149.793182",2020-03-01,19
"60.679945999999994,-162.151263",2020-03-01,10
"58.735464,-156.834047",2020-03-01,32
"63.882844999999996,-149.032949",2020-03-01,12
"59.136256,-158.718472",2020-03-01,30
"64.831552,-147.624018",2020-03-01,4
"59.264125,-135.559897",2020-03-01,21
"58.078281999999994,-135.384163",2020-03-01,34
"58.358516,-134.530605",2020-03-01,32
"60.292592000000006,-151.064475",2020-03-01,23
"55.367858,-131.678527",2020-03-01,34
"57.779137,-152.460881",2020-03-01,36
"58.557351000000004,-156.371652",2020-03-01,32
"61.611281000000005,-149.421961",2020-03-01,20
"64.457026,-165.295491",2020-03-01,-5
"70.522779,-154.862085",2020-03-01,-22
"66.943735,-161.63818500000002",2020-03-01,-13
"56.812712,-133.115025",2020-03-01,33
"55.448164,-132.56084199999998",2020-03-01,35
"57.062746,-135.33717099999998",2020-03-01,30
"59.464535999999995,-135.311501",2020-03-01,22
"63.856184999999996,-144.687024",2020-03-01,7
"61.26149,-145.882504",2020-03-01,21
"62.089902,-164.314723",2020-03-01,5
"56.38582099999999,-132.31083700000002",2020-03-01,33
"59.547975,-139.724878",2020-03-01,36
"65.010262,-152.550423",2020-03-01,-9
"35.577687,-109.41483999999998",2020-03-01,42
"31.607357,-110.063053",2020-03-01,54
"35.514426,-111.590056",2020-03-01,33
"33.82356,-111.007494",2020-03-01,53
"32.867329999999995,-109.81218100000001",2020-03-01,55
"32.970402,-109.24871200000001",2020-03-01,52
"33.908361,-114.172146",2020-03-01,60
"33.493403,-112.04143",2020-03-01,65
"35.069679,-114.24963400000001",2020-03-01,59
"34.893625,-110.211155",2020-03-01,50
"32.216707,-110.96001000000001",2020-03-01,60
"33.060133,-111.58836399999998",2020-03-01,64
"31.434733,-110.94319499999999",2020-03-01,54
"34.629014,-112.26776699999999",2020-03-01,52
"32.650040000000004,-114.59866299999999",2020-03-01,64
"34.405316,-91.46128399999999",2020-03-01,56
