0,1,2
"33.2629,-86.6781",2020-12-01,38
"35.2119,-90.3153",2020-12-01,39
"34.7551,-91.8941",2020-12-01,41
"34.8589,-94.0636",2020-12-01,43
"35.2547,-91.7532",2020-12-01,40
"37.2024,-107.0509",2020-12-01,31
"38.8354,-102.6046",2020-12-01,39
"37.6878,-104.9599",2020-12-01,25
"37.6515,-106.9323",2020-12-01,27
"39.1189,-105.7176",2020-12-01,21
"26.5521,-81.8923",2020-12-01,58
"28.302,-82.4557",2020-12-01,50
"34.6351,-83.5264",2020-12-01,35
"33.4192,-82.68799999999999",2020-12-01,38
"32.8043,-83.1756",2020-12-01,38
"42.0591,-89.9265",2020-12-01,28
"38.6064,-89.4231",2020-12-01,32
"41.9396,-88.428",2020-12-01,29
"40.5081,-89.5163",2020-12-01,30
"41.0504,-86.265",2020-12-01,30
"38.7836,-85.4401",2020-12-01,30
"38.3979,-87.2325",2020-12-01,32
"41.6853,-94.0407",2020-12-01,32
"41.3308,-92.6364",2020-12-01,30
"39.7862,-101.0767",2020-12-01,43
"38.9266,-101.7711",2020-12-01,42
"38.4435,-84.3328",2020-12-01,29
"37.4573,-84.6581",2020-12-01,29
"37.7968,-82.5066",2020-12-01,29
"37.4235,-83.6916",2020-12-01,30
"38.2394,-85.2284",2020-12-01,30
"30.8214,-90.7094",2020-12-01,45
"30.8727,-91.421",2020-12-01,44
"38.3674,-75.6322",2020-12-01,46
"43.5627,-85.7914",2020-12-01,33
"42.9515,-84.1464",2020-12-01,31
"46.6038,-92.671",2020-12-01,24
"33.5007,-89.6396",2020-12-01,41
"38.301,-93.2879",2020-12-01,39
"37.152,-91.3984",2020-12-01,37
"45.1339,-112.8929",2020-12-01,19
"45.2245,-109.0286",2020-12-01,30
"48.2827,-104.9952",2020-12-01,29
"41.2232,-96.6409",2020-12-01,35
"33.3616,-104.4698",2020-12-01,52
"32.3509,-106.8322",2020-12-01,49
"44.108999999999995,-73.7776",2020-12-01,47
"42.9009,-74.4354",2020-12-01,43
"36.2354,-81.7099",2020-12-01,25
"46.3578,-101.639",2020-12-01,34
"48.6822,-99.2482",2020-12-01,30
"41.5973,-84.1243",2020-12-01,31
"39.8966,-83.4009",2020-12-01,29
"39.6249,-81.8617",2020-12-01,30
"39.7432,-82.238",2020-12-01,29
"34.5939,-99.4122",2020-12-01,46
"40.9178,-75.7094",2020-12-01,37
"40.5307,-77.4004",2020-12-01,35
"40.6119,-77.6207",2020-12-01,35
"42.913000000000004,-96.9798",2020-12-01,34
"36.1691,-86.7848",2020-12-01,35
"36.3254,-88.3004",2020-12-01,34
"35.1425,-86.5934",2020-12-01,35
"33.6163,-98.6873",2020-12-01,47
"32.7441,-101.43299999999999",2020-12-01,50
"34.0919,-100.2764",2020-12-01,51
"32.7438,-99.34700000000001",2020-12-01,50
"33.1707,-99.2061",2020-12-01,49
"40.8901,-109.5058",2020-12-01,26
"44.0034,-72.3697",2020-12-01,51
"43.5881,-72.5915",2020-12-01,50
"38.8838,-77.1746",2020-12-01,44
"38.7476,-77.4847",2020-12-01,42
"39.3681,-81.1612",2020-12-01,30
"43.9738,-89.7672",2020-12-01,28
"46.6342,-91.1773",2020-12-01,26
"44.5009,-87.1618",2020-12-01,32
"31.244,-86.4487",2020-12-01,41
"32.2476,-87.7911",2020-12-01,42
"34.4909,-94.2309",2020-12-01,40
"37.4147,-122.3715",2020-12-01,57
"41.3497,-72.9002",2020-12-01,50
"38.6775,-75.3355",2020-12-01,46
"27.7006,-80.5748",2020-12-01,53
"30.6659,-86.5942",2020-12-01,41
"30.6312,-86.1766",2020-12-01,41
"34.3519,-83.4984",2020-12-01,35
"32.3934,-81.7438",2020-12-01,40
"33.9522,-83.3671",2020-12-01,36
"33.9591,-84.0229",2020-12-01,36
"33.0174,-83.9229",2020-12-01,37
"33.5937,-83.4923",2020-12-01,37
"30.8646,-83.9198",2020-12-01,41
"33.7826,-83.7342",2020-12-01,36
"37.1837,-89.3495",2020-12-01,35
"39.9621,-90.7503",2020-12-01,30
"37.7687,-88.228",2020-12-01,33
"39.2659,-89.9263",2020-12-01,31
"39.7564,-89.6623",2020-12-01,30
"41.0969,-89.7974",2020-12-01,29
"38.6794,-85.7519",2020-12-01,31
"41.2832,-86.6476",2020-12-01,30
"42.4729,-92.3061",2020-12-01,28
"41.6857,-93.053",2020-12-01,29
"38.2986,-96.5941",2020-12-01,38
"37.9945,-101.3081",2020-12-01,44
"38.4555,-96.1616",2020-12-01,38
"37.1486,-87.8705",2020-12-01,32
"36.7842,-85.3935",2020-12-01,30
"37.6925,-83.9639",2020-12-01,30
"38.7602,-84.8621",2020-12-01,30
"36.9904,-85.6296",2020-12-01,30
"30.544,-91.0932",2020-12-01,46
"31.1932,-92.536",2020-12-01,44
"39.6036,-77.8147",2020-12-01,40
"45.8051,-86.9014",2020-12-01,30
"46.0128,-87.8661",2020-12-01,28
"34.6209,-88.5222",2020-12-01,38
"32.4271,-89.5332",2020-12-01,42
"32.357,-90.8518",2020-12-01,43
"39.2145,-91.8434",2020-12-01,33
"36.908,-94.3347",2020-12-01,40
"37.8107,-90.4739",2020-12-01,34
"41.7054,-98.0668",2020-12-01,34
"42.2157,-103.0878",2020-12-01,36
"41.2261,-97.132",2020-12-01,35
"42.3905,-96.5625",2020-12-01,33
"40.525,-97.5967",2020-12-01,36
"42.9255,-72.2482",2020-12-01,51
"34.5919,-78.5395",2020-12-01,43
"35.9579,-81.5301",2020-12-01,34
"35.2381,-77.639",2020-12-01,45
"35.7041,-77.919",2020-12-01,45
"46.0968,-102.5332",2020-12-01,34
"48.0717,-99.36200000000001",2020-12-01,30
"46.2652,-96.93799999999999",2020-12-01,30
"39.0135,-82.6141",2020-12-01,31
"35.6456,-98.9974",2020-12-01,43
"36.3783,-97.7877",2020-12-01,42
"36.0792,-96.9753",2020-12-01,44
"45.1645,-121.1651",2020-12-01,32
"40.6841,-80.3507",2020-12-01,31
"32.3581,-80.6893",2020-12-01,42
"34.0807,-79.3621",2020-12-01,42
"34.0053,-81.7279",2020-12-01,38
"44.6806,-97.1786",2020-12-01,30
"44.0285,-97.1232",2020-12-01,30
"36.1167,-84.1954",2020-12-01,31
"35.4888,-86.0782",2020-12-01,30
"36.2184,-83.2661",2020-12-01,30
"31.9142,-99.3466",2020-12-01,48
"32.3473,-96.7983",2020-12-01,44
"35.8402,-102.61",2020-12-01,43
"33.176,-99.7308",2020-12-01,50
"28.7452,-100.3114",2020-12-01,51
"32.1094,-94.7564",2020-12-01,44
"38.3359,-112.1294",2020-12-01,27
"44.0312,-73.1416",2020-12-01,49
"36.7665,-78.9396",2020-12-01,41
"38.8532,-77.29899999999999",2020-12-01,43
"46.5566,-123.7824",2020-12-01,40
"39.3074,-77.8632",2020-12-01,39
"44.474,-87.9959",2020-12-01,30
"44.4182,-88.465",2020-12-01,29
"43.3607,-87.4966",2020-12-01,29
"32.9314,-86.2435",2020-12-01,38
"35.8297,-111.7737",2020-12-01,41
"34.0533,-93.1762",2020-12-01,42
"35.1891,-91.2444",2020-12-01,40
"37.6481,-121.9133",2020-12-01,58
"34.1964,-118.2619",2020-12-01,71
"38.102,-105.3735",2020-12-01,33
"39.3053,-102.603",2020-12-01,39
"39.0195,-108.4618",2020-12-01,34
"28.5144,-81.3233",2020-12-01,50
"32.8088,-83.6942",2020-12-01,39
"34.2251,-84.1273",2020-12-01,34
"21.4614,-158.202",2020-12-01,74
"40.7489,-87.8336",2020-12-01,30
"42.3624,-90.2115",2020-12-01,28
"37.7304,-88.93",2020-12-01,33
"40.0509,-86.469",2020-12-01,28
"40.8264,-85.4786",2020-12-01,31
"39.6231,-84.9252",2020-12-01,28
"42.0386,-93.9391",2020-12-01,30
"42.7415,-95.1414",2020-12-01,32
"42.473,-91.3594",2020-12-01,28
"42.4635,-90.8788",2020-12-01,27
"43.2125,-94.214",2020-12-01,30
"40.7391,-95.1443",2020-12-01,35
"38.2165,-94.8449",2020-12-01,38
"38.6877,-96.6449",2020-12-01,38
"37.6476,-98.7401",2020-12-01,41
"37.8885,-95.7576",2020-12-01,39
"38.3684,-83.7062",2020-12-01,29
"37.5455,-85.6972",2020-12-01,31
"37.1133,-84.1194",2020-12-01,28
"37.5306,-87.2629",2020-12-01,32
"32.4775,-92.1548",2020-12-01,43
"30.5834,-91.9893",2020-12-01,44
"43.8083,-70.3304",2020-12-01,55
"39.6123,-78.7031",2020-12-01,35
"42.9447,-85.0738",2020-12-01,33
"43.4879,-83.4366",2020-12-01,29
"44.8214,-93.8006",2020-12-01,27
"45.5054,-92.9038",2020-12-01,26
"45.1232,-94.5273",2020-12-01,26
"45.4432,-93.7751",2020-12-01,26
"40.0957,-95.2191",2020-12-01,36
"36.6849,-91.4029",2020-12-01,38
"42.7112,-103.1349",2020-12-01,37
"40.5098,-99.8241",2020-12-01,40
"40.866,-98.49799999999999",2020-12-01,36
"40.5164,-99.4066",2020-12-01,40
"33.9916,-106.939",2020-12-01,41
"43.7864,-75.4426",2020-12-01,42
"36.0613,-76.9624",2020-12-01,46
"35.3481,-83.8309",2020-12-01,25
"35.8064,-80.8745",2020-12-01,37
"35.153,-83.4219",2020-12-01,22
"35.4027,-81.9196",2020-12-01,36
"36.4042,-80.2393",2020-12-01,38
"46.1078,-103.5066",2020-12-01,33
"47.4643,-98.8728",2020-12-01,31
"46.4349,-102.4584",2020-12-01,33
"46.9354,-99.7427",2020-12-01,32
"36.8005,-99.6628",2020-12-01,44
"35.7031,-96.8814",2020-12-01,44
"35.6469,-95.9646",2020-12-01,43
"41.0455,-76.4043",2020-12-01,37
"34.3322,-79.9621",2020-12-01,42
"43.2215,-103.5121",2020-12-01,37
"44.5373,-99.4921",2020-12-01,32
"43.6789,-97.36200000000001",2020-12-01,31
"42.8311,-96.6508",2020-12-01,32
"36.5016,-83.6607",2020-12-01,29
"35.9524,-84.9948",2020-12-01,27
"36.2775,-83.5095",2020-12-01,30
"35.8475,-84.5239",2020-12-01,32
"29.1678,-95.4346",2020-12-01,52
"29.9859,-100.3074",2020-12-01,44
"34.4532,-100.5763",2020-12-01,51
"31.9822,-97.1299",2020-12-01,44
"31.3034,-100.9813",2020-12-01,48
"31.5131,-103.1051",2020-12-01,53
"34.0849,-99.2424",2020-12-01,48
"40.2896,-110.4298",2020-12-01,28
"40.4677,-113.124",2020-12-01,33
"44.724,-71.7327",2020-12-01,50
"37.6068,-76.528",2020-12-01,44
"37.7317,-79.3564",2020-12-01,36
"37.2047,-77.3924",2020-12-01,43
"47.8599,-120.6185",2020-12-01,28
"47.6204,-117.4044",2020-12-01,32
"38.4196,-82.2434",2020-12-01,31
"39.8547,-80.6714",2020-12-01,29
"38.6868,-79.3337",2020-12-01,33
"34.7031,-87.8015",2020-12-01,36
"31.517,-85.24",2020-12-01,39
"33.7871,-88.0874",2020-12-01,39
"32.8634,-85.7996",2020-12-01,38
"63.6827,-150.0267",2020-12-01,21
"35.7669,-90.0522",2020-12-01,38
"35.3466,-118.7295",2020-12-01,53
"38.2672,-121.9396",2020-12-01,57
"37.2775,-105.4289",2020-12-01,26
"37.3188,-104.0441",2020-12-01,35
"38.1506,-107.7671",2020-12-01,21
"26.5393,-81.1516",2020-12-01,56
"31.9748,-81.0918",2020-12-01,42
"33.79,-84.4682",2020-12-01,37
"33.5768,-83.1671",2020-12-01,37
"32.5547,-84.2514",2020-12-01,38
"42.9862,-114.1539",2020-12-01,19
"39.5455,-89.2796",2020-12-01,30
"41.7474,-89.2994",2020-12-01,29
"37.7517,-88.545",2020-12-01,33
"38.4319,-88.4321",2020-12-01,32
"38.4762,-85.7111",2020-12-01,32
"39.7743,-87.197",2020-12-01,30
"39.0892,-87.4158",2020-12-01,31
"41.6792,-94.9043",2020-12-01,33
"40.9153,-91.1869",2020-12-01,29
"43.0527,-92.7874",2020-12-01,27
"41.0286,-94.2451",2020-12-01,33
"37.2229,-98.6851",2020-12-01,41
"38.4516,-85.1201",2020-12-01,29
"36.7311,-84.4911",2020-12-01,29
"37.4779,-86.8449",2020-12-01,32
"36.8077,-87.8587",2020-12-01,32
"30.0686,-89.939",2020-12-01,49
"32.7925,-91.45200000000001",2020-12-01,42
"44.0369,-83.7407",2020-12-01,32
"41.7926,-86.7418",2020-12-01,33
"46.9983,-88.6521",2020-12-01,30
"41.9161,-83.4871",2020-12-01,31
"44.4035,-95.2542",2020-12-01,29
"33.0905,-89.5886",2020-12-01,42
"34.8108,-89.2",2020-12-01,39
"34.8743,-89.9932",2020-12-01,41
"34.7377,-88.2361",2020-12-01,37
"37.5008,-94.3441",2020-12-01,41
"36.9448,-90.9456",2020-12-01,38
"39.3156,-94.4215",2020-12-01,36
"39.6087,-94.3958",2020-12-01,35
"38.5068,-92.2714",2020-12-01,37
"37.4324,-93.8549",2020-12-01,40
"36.6302,-94.344",2020-12-01,41
"37.3143,-91.9645",2020-12-01,37
"47.6429,-114.0837",2020-12-01,29
"46.8524,-105.3758",2020-12-01,32
